uuid,path
acdee0e6-c467-457d-a669-8d37489fea6e,../content/drive/MyDrive/Colab Notebooks/test_data/private/acdee0e6-c467-457d-a669-8d37489fea6e.wav
41201fb5-138a-4fce-9119-7432efd5baee,../content/drive/MyDrive/Colab Notebooks/test_data/private/41201fb5-138a-4fce-9119-7432efd5baee.wav
d4d26717-efb6-46d2-84a9-d3b442743b38,../content/drive/MyDrive/Colab Notebooks/test_data/private/d4d26717-efb6-46d2-84a9-d3b442743b38.wav
49b57e0d-2087-48b8-81a4-c7f1d62ff608,../content/drive/MyDrive/Colab Notebooks/test_data/private/49b57e0d-2087-48b8-81a4-c7f1d62ff608.wav
1672163f-46da-4fc1-a752-0be874dfd06f,../content/drive/MyDrive/Colab Notebooks/test_data/private/1672163f-46da-4fc1-a752-0be874dfd06f.wav
b237116b-fc80-41c8-82dd-b4b44c6e9080,../content/drive/MyDrive/Colab Notebooks/test_data/private/b237116b-fc80-41c8-82dd-b4b44c6e9080.wav
ce424814-cde4-4261-a372-3420cab2a20f,../content/drive/MyDrive/Colab Notebooks/test_data/private/ce424814-cde4-4261-a372-3420cab2a20f.wav
44f3f21d-61ec-47ae-b913-9596b8b1e657,../content/drive/MyDrive/Colab Notebooks/test_data/private/44f3f21d-61ec-47ae-b913-9596b8b1e657.wav
7a314589-c3cb-4213-b3e0-d8889d82d165,../content/drive/MyDrive/Colab Notebooks/test_data/private/7a314589-c3cb-4213-b3e0-d8889d82d165.wav
bd1076f4-82ca-4836-940e-b394be933b44,../content/drive/MyDrive/Colab Notebooks/test_data/private/bd1076f4-82ca-4836-940e-b394be933b44.wav
92930521-bff3-4bcd-ac46-5ee80937af6f,../content/drive/MyDrive/Colab Notebooks/test_data/private/92930521-bff3-4bcd-ac46-5ee80937af6f.wav
2dcc61fa-f6af-46ee-b67b-2194c6dfd1fb,../content/drive/MyDrive/Colab Notebooks/test_data/private/2dcc61fa-f6af-46ee-b67b-2194c6dfd1fb.wav
17e06f57-58d3-4578-98b1-8db2ea3dd7ba,../content/drive/MyDrive/Colab Notebooks/test_data/private/17e06f57-58d3-4578-98b1-8db2ea3dd7ba.wav
4d996e78-1dda-407f-bfe9-3be9f54207cb,../content/drive/MyDrive/Colab Notebooks/test_data/private/4d996e78-1dda-407f-bfe9-3be9f54207cb.wav
62aa2782-e47c-4662-8def-e8730efdba7e,../content/drive/MyDrive/Colab Notebooks/test_data/private/62aa2782-e47c-4662-8def-e8730efdba7e.wav
6f768d61-8b5c-4df3-8266-7a3967d2ba79,../content/drive/MyDrive/Colab Notebooks/test_data/private/6f768d61-8b5c-4df3-8266-7a3967d2ba79.wav
6320b795-4224-4200-a4f0-5b6e06e6006e,../content/drive/MyDrive/Colab Notebooks/test_data/private/6320b795-4224-4200-a4f0-5b6e06e6006e.wav
d9d228c3-13f0-4f93-887b-b72dcbde7347,../content/drive/MyDrive/Colab Notebooks/test_data/private/d9d228c3-13f0-4f93-887b-b72dcbde7347.wav
5581eb2f-12ac-4bc1-8b9c-8b4ca5ba6104,../content/drive/MyDrive/Colab Notebooks/test_data/private/5581eb2f-12ac-4bc1-8b9c-8b4ca5ba6104.wav
20c07926-c2b5-4984-91dd-d85b5eb5ee89,../content/drive/MyDrive/Colab Notebooks/test_data/private/20c07926-c2b5-4984-91dd-d85b5eb5ee89.wav
4264e226-2058-4c00-b7d1-7cf17f12e77e,../content/drive/MyDrive/Colab Notebooks/test_data/private/4264e226-2058-4c00-b7d1-7cf17f12e77e.wav
c897203b-2c4c-4bd2-be2f-375732539710,../content/drive/MyDrive/Colab Notebooks/test_data/private/c897203b-2c4c-4bd2-be2f-375732539710.wav
93abb14e-07c1-4186-b010-9c7e7e3abe50,../content/drive/MyDrive/Colab Notebooks/test_data/private/93abb14e-07c1-4186-b010-9c7e7e3abe50.wav
8d084d57-5a14-4561-8123-332661e8ca53,../content/drive/MyDrive/Colab Notebooks/test_data/private/8d084d57-5a14-4561-8123-332661e8ca53.wav
76007b9d-35a7-455a-b058-8ef376abca14,../content/drive/MyDrive/Colab Notebooks/test_data/private/76007b9d-35a7-455a-b058-8ef376abca14.wav
a0c29c00-78bd-4f79-a486-8a928cbaead2,../content/drive/MyDrive/Colab Notebooks/test_data/private/a0c29c00-78bd-4f79-a486-8a928cbaead2.wav
323365d6-dffe-4938-91f2-dcc92782357a,../content/drive/MyDrive/Colab Notebooks/test_data/private/323365d6-dffe-4938-91f2-dcc92782357a.wav
58961dbb-4850-4f7f-862e-762d9b40a967,../content/drive/MyDrive/Colab Notebooks/test_data/private/58961dbb-4850-4f7f-862e-762d9b40a967.wav
73d266a7-52e3-4c18-bb22-b6b74fca2cef,../content/drive/MyDrive/Colab Notebooks/test_data/private/73d266a7-52e3-4c18-bb22-b6b74fca2cef.wav
3e384613-388a-45d2-8384-b2f9d4f40e70,../content/drive/MyDrive/Colab Notebooks/test_data/private/3e384613-388a-45d2-8384-b2f9d4f40e70.wav
ea569c40-1a0b-499d-8c29-b7a772d37265,../content/drive/MyDrive/Colab Notebooks/test_data/private/ea569c40-1a0b-499d-8c29-b7a772d37265.wav
27a04d3d-1657-485a-89f1-6648f16f47de,../content/drive/MyDrive/Colab Notebooks/test_data/private/27a04d3d-1657-485a-89f1-6648f16f47de.wav
d7e5931f-c0fe-48f4-84bd-2ad42c3bb95d,../content/drive/MyDrive/Colab Notebooks/test_data/private/d7e5931f-c0fe-48f4-84bd-2ad42c3bb95d.wav
5ce0e050-7afa-408d-aeeb-98c214a5fb20,../content/drive/MyDrive/Colab Notebooks/test_data/private/5ce0e050-7afa-408d-aeeb-98c214a5fb20.wav
ca48340c-1365-4923-b636-77fc0a3af28d,../content/drive/MyDrive/Colab Notebooks/test_data/private/ca48340c-1365-4923-b636-77fc0a3af28d.wav
431114c6-c9f2-417d-b100-44074a80503f,../content/drive/MyDrive/Colab Notebooks/test_data/private/431114c6-c9f2-417d-b100-44074a80503f.wav
0399d58f-6c0c-47bd-a824-6b9d30b79ee9,../content/drive/MyDrive/Colab Notebooks/test_data/private/0399d58f-6c0c-47bd-a824-6b9d30b79ee9.wav
2501ad5b-1dca-4cc6-9aab-06e0ee207bd1,../content/drive/MyDrive/Colab Notebooks/test_data/private/2501ad5b-1dca-4cc6-9aab-06e0ee207bd1.wav
baa6f4ba-a035-4a62-b569-2dc8da5dfae1,../content/drive/MyDrive/Colab Notebooks/test_data/private/baa6f4ba-a035-4a62-b569-2dc8da5dfae1.wav
44e90311-45d0-45e1-8d43-bc255c6cda7a,../content/drive/MyDrive/Colab Notebooks/test_data/private/44e90311-45d0-45e1-8d43-bc255c6cda7a.wav
978a0081-adda-4287-989c-6970e7d37901,../content/drive/MyDrive/Colab Notebooks/test_data/private/978a0081-adda-4287-989c-6970e7d37901.wav
60e562cd-240b-42f1-b65c-3ece8a295dae,../content/drive/MyDrive/Colab Notebooks/test_data/private/60e562cd-240b-42f1-b65c-3ece8a295dae.wav
ed67d53f-3288-4db0-a5dc-76cf86279692,../content/drive/MyDrive/Colab Notebooks/test_data/private/ed67d53f-3288-4db0-a5dc-76cf86279692.wav
714df8b6-c6a3-4a41-91c9-d67278472b01,../content/drive/MyDrive/Colab Notebooks/test_data/private/714df8b6-c6a3-4a41-91c9-d67278472b01.wav
fc510f75-1f4d-4e89-8e03-236b3c678a5f,../content/drive/MyDrive/Colab Notebooks/test_data/private/fc510f75-1f4d-4e89-8e03-236b3c678a5f.wav
3bf3ad52-f82d-49f4-8d6d-b877c1e4ec36,../content/drive/MyDrive/Colab Notebooks/test_data/private/3bf3ad52-f82d-49f4-8d6d-b877c1e4ec36.wav
d9210c02-5fdb-4044-ba82-10ac64a202cd,../content/drive/MyDrive/Colab Notebooks/test_data/private/d9210c02-5fdb-4044-ba82-10ac64a202cd.wav
cbd2b0f8-eb77-4cc9-a58c-3db563d51bcc,../content/drive/MyDrive/Colab Notebooks/test_data/private/cbd2b0f8-eb77-4cc9-a58c-3db563d51bcc.wav
25c0dbd5-91ca-4137-929f-120978e5a7fb,../content/drive/MyDrive/Colab Notebooks/test_data/private/25c0dbd5-91ca-4137-929f-120978e5a7fb.wav
07544a65-d8d2-492d-be7d-eb1729cb5fcd,../content/drive/MyDrive/Colab Notebooks/test_data/private/07544a65-d8d2-492d-be7d-eb1729cb5fcd.wav
361235ec-f9d0-43e9-948a-0e9b28e58573,../content/drive/MyDrive/Colab Notebooks/test_data/private/361235ec-f9d0-43e9-948a-0e9b28e58573.wav
73834157-2aa9-4eb1-bb49-58cd45605d90,../content/drive/MyDrive/Colab Notebooks/test_data/private/73834157-2aa9-4eb1-bb49-58cd45605d90.wav
56f19064-1efe-4ea8-9c96-e110b92aeaff,../content/drive/MyDrive/Colab Notebooks/test_data/private/56f19064-1efe-4ea8-9c96-e110b92aeaff.wav
